Question,answer 1,answer 2,answer 3,answer 4,Difficulty,classification
Which singer was born Stefani Germanotta?,Madonna,Beyoncé,Adele,Lady Gaga,3,music
Which band released “Californication”?,Green Day,Foo Fighters,Pearl Jam,Red Hot Chili Peppers,2,music
Which artist released “DAMN.”?,Drake,Eminem,Nas,Kendrick Lamar,3,music
Which composer wrote “Eine kleine Nachtmusik”?,Beethoven,Bach,Handel,Mozart,3,music
Which singer released “Royals”?,Billie Eilish,Adele,Sia,Lorde,2,music
Which band released “Mr. Brightside”?,Arctic Monkeys,The Strokes,Franz Ferdinand,The Killers,2,music
Which singer released “All Too Well”?,Olivia Rodrigo,Adele,Kacey Musgraves,Taylor Swift,2,music
Which artist released “Channel Orange”?,The Weeknd,Miguel,Brent Faiyaz,Frank Ocean,3,music
Which band released “Seven Nation Army”?,The Black Keys,Arctic Monkeys,The Strokes,The White Stripes,2,music
Which singer is known for the album “The Fame”?,Katy Perry,Rihanna,Ke$ha,Lady Gaga,3,music
Which rapper released “The College Dropout”?,Drake,Kendrick Lamar,J. Cole,Kanye West,3,music
Which band released “Rumours”?,ABBA,Eagles,The Police,Fleetwood Mac,6,music
Which singer released “Toxic”?,Christina Aguilera,Pink,Gwen Stefani,Britney Spears,1,music
Which artist released “Sign o’ the Times”?,David Bowie,Michael Jackson,Stevie Wonder,Prince,5,music
Which band released “Paranoid Android”?,Oasis,Blur,Nirvana,Radiohead,8,music
Which composer wrote the opera “The Magic Flute”?,Verdi,Puccini,Wagner,Mozart,6,music
Which rapper’s album “Illmatic” is a 1994 hip-hop classic?,Jay-Z,Tupac,Biggie,Nas,3,music
Which singer released the album “Blue” in 1971?,Carole King,Joan Baez,Patti Smith,Joni Mitchell,5,music
Which jazz musician was nicknamed “Satchmo”?,Miles Davis,Duke Ellington,John Coltrane,Louis Armstrong,3,music
